# RussianDoll Interpolation Data - Frame 14
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111595497761
c1 = -0.00199594489133
c2 = 0.00774357486439
c3 = 0.0182161262
c4 = -0.0699892500684
c5 = 0.0466962854585

[displacement_x_coefficients]
c0 = 0.0171277931547
c1 = 0.0078123493783
c2 = -0.0425663312838
c3 = 0.0627645275318
c4 = -0.0240753472638
c5 = -0.00122731023858

[displacement_y_coefficients]
c0 = -0.00428133324859
c1 = -0.00707379200041
c2 = 0.0226163692737
c3 = -0.0192017174999
c4 = -0.0289748467566
c5 = 0.0373942944774

[displacement_z_coefficients]
c0 = 0.00234432260493
c1 = -0.0122647163285
c2 = 0.00434355149212
c3 = -0.00554411471287
c4 = 0.00958195234503
c5 = -0.010945810729

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111595497761	0.0171277931547	-0.00428133324859	0.00234432260493
0.02	0.02	0.0111228629884	0.01726751187	-0.00441392067094	0.00210072284413
0.04	0.04	0.0110930931415	0.017376136171	-0.00452939799412	0.00186035221978
0.06	0.06	0.0110707338857	0.0174565394919	-0.00462883584642	0.00162299455246
0.08	0.08	0.0110560459752	0.017511501875	-0.00471338740073	0.001388462051
0.1	0.1	0.0110490751996	0.0175437094994	-0.00478427401512	0.00115659110942
0.12	0.12	0.0110496703154	0.0175557542098	-0.00484277087345	0.000927238103617
0.14	0.14	0.0110575009769	0.017550133045	-0.00489019262593	0.000700275188259
0.16	0.16	0.0110720756684	0.0175292477668	-0.00492787902972	0.000475586093555
0.18	0.18	0.0110927596348	0.0174954043886	-0.00495718058956	0.000253061922069
0.2	0.2	0.0111187928132	0.0174508127044	-0.0049794441983	3.2596945536e-05
0.22	0.22	0.0111493077647	0.017397585817	-0.00499599877752	-0.000185915598337
0.24	0.24	0.011183347605	0.017337739667	-0.00500814091815	-0.000402587709057
0.26	0.26	0.0112198839364	0.0172731925618	-0.00501712052099	-0.000617540826541
0.28	0.28	0.011257834779	0.0172057647038	-0.00502412643738	-0.000830910034302
0.3	0.3	0.011296082502	0.0171371777193	-0.00503027210972	-0.00104284826265
0.32	0.32	0.011333491755	0.0170690541874	-0.00503658121213	-0.00125353049186
0.34	0.34	0.0113689273996	0.0170029171683	-0.00504397329098	-0.0014631579554
0.36	0.36	0.0114012724407	0.0169401897327	-0.00505324940551	-0.00167196234309
0.38	0.38	0.0114294459577	0.0168821944896	-0.00506507776843	-0.00188021000431
0.4	0.4	0.011452421036	0.0168301531159	-0.00507997938647	-0.00208820615118
0.42	0.42	0.0114692426985	0.0167851858844	-0.00509831370104	-0.00229629906177
0.44	0.44	0.0114790458369	0.0167483111931	-0.00512026422875	-0.00250488428327
0.46	0.46	0.0114810731428	0.0167204450934	-0.00514582420203	-0.00271440883519
0.48	0.48	0.0114746930394	0.0167024008192	-0.00517478220974	-0.00292537541256
0.5	0.5	0.0114594176128	0.0166948883155	-0.00520670783773	-0.0031383465891
0.52	0.52	0.0114349205434	0.0166985137668	-0.00524093730944	-0.00335394902045
0.54	0.54	0.0114010550372	0.0167137791264	-0.00527655912652	-0.00357287764731
0.56	0.56	0.0113578717571	0.0167410816446	-0.00531239970935	-0.00379589989867
0.58	0.58	0.0113056367543	0.0167807133978	-0.00534700903773	-0.00402385989497
0.6	0.6	0.0112448494001	0.0168328608169	-0.00537864629138	-0.00425768265135
0.62	0.62	0.0111762603164	0.0168976042161	-0.00540526549057	-0.00449837828075
0.64	0.64	0.0111008893081	0.0169749173217	-0.00542450113673	-0.00474704619721
0.66	0.66	0.0110200432937	0.0170646668008	-0.005433653853	-0.00500487931894
0.68	0.68	0.0109353342368	0.01716661179	-0.00542967602486	-0.00527316827163
0.7	0.7	0.0108486970779	0.0172804034241	-0.00540915744068	-0.00555330559157
0.72	0.72	0.0107624076653	0.0174055843645	-0.00536831093234	-0.00584678992883
0.74	0.74	0.0106791006868	0.0175415883288	-0.00530295801584	-0.00615523025052
0.76	0.76	0.0106017876007	0.0176877396183	-0.00520851453182	-0.00648035004391
0.78	0.78	0.0105338745677	0.0178432526479	-0.00507997628622	-0.00682399151968
0.8	0.8	0.0104791803817	0.0180072314738	-0.00491190469085	-0.00718811981505
0.82	0.82	0.0104419544016	0.0181786693229	-0.00469841240398	-0.00757482719703
0.84	0.84	0.0104268944825	0.0183564481214	-0.00443314897091	-0.00798633726558
0.86	0.86	0.0104391649071	0.018539338023	-0.00410928646459	-0.00842500915681
0.88	0.88	0.010484414317	0.0187259969384	-0.0037195051262	-0.00889334174615
0.9	0.9	0.0105687936444	0.0189149700635	-0.00325597900574	-0.00939397785157
0.92	0.92	0.0106989740428	0.019104689408	-0.00271036160263	-0.00992970843678
0.94	0.94	0.0108821648192	0.0192934733248	-0.00207377150628	-0.0105034768144
0.96	0.96	0.0111261313647	0.0194795260378	-0.0013367780367	-0.0111183828491
0.98	0.98	0.0114392130867	0.0196609371714	-0.000489386885086	-0.0117776871609
1	1	0.0118303413393	0.0198356812787	0.000478974245593	-0.0124848153283
