# RussianDoll Interpolation Data - Frame 31
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111926246884
c1 = -0.00205253787845
c2 = 0.00806031770413
c3 = 0.0204966867624
c4 = -0.0753774033322
c5 = 0.0495502624399

[displacement_x_coefficients]
c0 = 0.0175475519542
c1 = 0.00409008994105
c2 = -0.0261720423871
c3 = 0.0294188571579
c4 = 0.0173047859064
c5 = -0.0252109984707

[displacement_y_coefficients]
c0 = -0.00370001691384
c1 = -0.0121621911726
c2 = 0.0439397389678
c3 = -0.0602882050018
c4 = 0.0216708745304
c5 = 0.00701005761664

[displacement_z_coefficients]
c0 = 0.0036343515517
c1 = -0.0119557507114
c2 = 0.00318403852182
c3 = 0.0304784236507
c4 = -0.0482371063117
c5 = 0.0187782569488

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111926246884	0.0175475519542	-0.00370001691384	0.0036343515517
0.02	0.02	0.0111549501296	0.017619122975	-0.00392616365757	0.00339674632242
0.04	0.04	0.0111245435773	0.0176712048095	-0.00412000322825	0.00316304503989
0.06	0.06	0.0111019784829	0.0177052971372	-0.00428430127064	0.00293444183627
0.08	0.08	0.0110875769029	0.0177229467257	-0.00442173482964	0.00271196003495
0.1	0.1	0.0110814285267	0.0177257377502	-0.00453488965839	0.00249645936136
0.12	0.12	0.0110834097034	0.017715282112	-0.00462625752645	0.00228864315387
0.14	0.14	0.0110932024697	0.0176932097577	-0.00469823352788	0.00208906557459
0.16	0.16	0.0111103135766	0.0176611589983	-0.00475311338942	0.00189813882026
0.18	0.18	0.0111340935172	0.0176207668276	-0.00479309077862	0.0017161403331
0.2	0.2	0.0111637555536	0.0175736592421	-0.00482025461197	0.00154322001162
0.22	0.22	0.0111983947445	0.0175214415591	-0.00483658636306	0.0013794074215
0.24	0.24	0.0112370069723	0.0174656887362	-0.00484395737068	0.00122461900647
0.26	0.26	0.0112785079706	0.0174079356901	-0.00484412614697	0.00107866529909
0.28	0.28	0.0113217523511	0.0173496676156	-0.00483873568561	0.000941258131667
0.3	0.3	0.0113655526316	0.0172923103045	-0.00482931076986	0.000812017847064
0.32	0.32	0.0114086982624	0.0172372204647	-0.00481725528079	0.000690480509571
0.34	0.34	0.0114499746546	0.0171856760392	-0.00480384950536	0.000576105115747
0.36	0.36	0.0114881822064	0.0171388665249	-0.0047902474446	0.000468280805276
0.38	0.38	0.0115221553312	0.0170978832918	-0.00477747412169	0.000366334071815
0.4	0.4	0.0115507814846	0.0170637099016	-0.00476642289017	0.000269535973842
0.42	0.42	0.0115730201913	0.0170372124273	-0.00475785274203	0.000177109345512
0.44	0.44	0.0115879220734	0.0170191297715	-0.00475238561584	8.82360075044e-05
0.46	0.46	0.0115946478764	0.0170100639858	-0.00475050370492	2.06397787442e-06
0.48	0.48	0.0115924874979	0.0170104705898	-0.00475254676549	-8.22853170963e-05
0.5	0.5	0.0115808790135	0.0170206488896	-0.00475870942475	-0.000165709832049
0.52	0.52	0.0115594277053	0.0170407322975	-0.00476903848905	-0.000249119691697
0.54	0.54	0.0115279250885	0.0170706786503	-0.00478343025205	-0.000333429979976
0.56	0.56	0.0114863679388	0.0171102605288	-0.00480162780283	-0.00041955352919
0.58	0.58	0.01143497732	0.0171590555763	-0.00482321833402	-0.000508393709167
0.6	0.6	0.011374217611	0.017216436818	-0.00484763044998	-0.000600837216401
0.62	0.62	0.011304815533	0.0172815629797	-0.00487413147487	-0.000697746863207
0.64	0.64	0.0112277791774	0.0173533688071	-0.00490182476087	-0.000799954366867
0.66	0.66	0.0111444170323	0.0174305553842	-0.00492964699626	-0.000908253138783
0.68	0.68	0.0110563570105	0.0175115804529	-0.00495636551355	-0.00102339107362
0.7	0.7	0.0109655654762	0.0175946487316	-0.00498057559769	-0.00114606333846
0.72	0.72	0.0108743662729	0.0176777022342	-0.00500069779411	-0.00127690516195
0.74	0.74	0.0107854597502	0.0177584105894	-0.00501497521694	-0.00141648462347
0.76	0.76	0.0107019417914	0.0178341613592	-0.0050214708571	-0.00156529544222
0.78	0.78	0.0106273228405	0.0179020503582	-0.00501806489047	-0.00172374976646
0.8	0.8	0.0105655469301	0.0179588719725	-0.00500245198599	-0.00189217096259
0.82	0.82	0.0105210107079	0.0180011094787	-0.00497213861383	-0.00207078640433
0.84	0.84	0.0104985824645	0.0180249253627	-0.00492444035352	-0.00225972026185
0.86	0.86	0.0105036211609	0.018026151639	-0.00485647920207	-0.00245898629094
0.88	0.88	0.010541995455	0.0180002801693	-0.00476518088214	-0.00266848062215
0.9	0.9	0.0106201027298	0.0179424529819	-0.00464727215015	-0.00288797454994
0.92	0.92	0.0107448881202	0.0178474525903	-0.00449927810443	-0.00311710732182
0.94	0.94	0.0109238635404	0.0177096923122	-0.00431751949337	-0.00335537892753
0.96	0.96	0.0111651267111	0.017523206589	-0.00409811002351	-0.00360214288814
0.98	0.98	0.0114773801871	0.0172816413039	-0.00383695366775	-0.00385659904524
1	1	0.0118699503842	0.0169782441017	-0.00352974197343	-0.00411778635008
