# RussianDoll Interpolation Data - Frame 18
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111702479668
c1 = -0.00201437817219
c2 = 0.00784652437396
c3 = 0.0189558966676
c4 = -0.0717371382107
c5 = 0.0476219093407

[displacement_x_coefficients]
c0 = 0.0171330543901
c1 = 0.00776442567289
c2 = -0.042359062832
c3 = 0.0623427214204
c4 = -0.0235541944029
c5 = -0.00152608188693

[displacement_y_coefficients]
c0 = -0.00427405027324
c1 = -0.00713942667895
c2 = 0.0228870023416
c3 = -0.0197251919325
c4 = -0.0283322153684
c5 = 0.0370139941017

[displacement_z_coefficients]
c0 = 0.00236129094426
c1 = -0.0122641635122
c2 = 0.00434391620385
c3 = -0.00513902358565
c4 = 0.00890413321381
c5 = -0.0105897985041

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111702479668	0.0171330543901	-0.00427405027324	0.00236129094426
0.02	0.02	0.0111332393347	0.0172718942466	-0.00440784622212	0.00211770551909
0.04	0.04	0.0111032616857	0.0173797863956	-0.00452433928917	0.00187736748238
0.06	0.06	0.0110808345554	0.017459586883	-0.00462462171043	0.00164007636571
0.08	0.08	0.0110662385824	0.0175140601347	-0.00470986609092	0.00140565775956
0.1	0.1	0.0110595337953	0.0175458783702	-0.00478131119124	0.00117395924684
0.12	0.12	0.0110605778991	0.0175576210171	-0.00484024771421	0.000944846336372
0.14	0.14	0.0110690445624	0.0175517741247	-0.00488800409148	0.000718198396473
0.16	0.16	0.0110844417042	0.017530729778	-0.00492593227016	0.000493904588416
0.18	0.18	0.0111061297803	0.0174967855121	-0.00495539349946	0.000271859799971
0.2	0.2	0.0111333400705	0.0174521437255	-0.0049777441173	5.19605789194e-05
0.22	0.22	0.0111651929654	0.0173989110946	-0.00499432133696	-0.00016589893343
0.24	0.24	0.0112007162531	0.0173390979877	-0.00500642903367	-0.000381831068724
0.26	0.26	0.0112388634059	0.0172746178786	-0.00501532353126	-0.000595958698045
0.28	0.28	0.0112785318674	0.0172072867608	-0.0050221993888	-0.000808419298397
0.3	0.3	0.011318581339	0.0171388225617	-0.00502817518718	-0.00101936901919
0.32	0.32	0.0113578520671	0.0170708445563	-0.00503427931578	-0.0012289867487
0.34	0.34	0.0113951831295	0.0170048727811	-0.00504143575908	-0.00143747818061
0.36	0.36	0.0114294307224	0.0169423274484	-0.0050504498833	-0.00164507988041
0.38	0.38	0.0114594864474	0.0168845283601	-0.00506199422298	-0.00185206335194
0.4	0.4	0.0114842955979	0.0168326943218	-0.00507659426768	-0.00205873910388
0.42	0.42	0.0115028754463	0.0167879425564	-0.00509461424854	-0.00226546071617
0.44	0.44	0.0115143335306	0.0167512881188	-0.00511624292493	-0.00247262890655
0.46	0.46	0.0115178859412	0.0167236433093	-0.00514147937109	-0.00268069559702
0.48	0.48	0.0115128756078	0.0167058170875	-0.00517011876275	-0.00289016798033
0.5	0.5	0.0114987905864	0.0166985144869	-0.00520173816374	-0.00310161258646
0.52	0.52	0.0114752823455	0.0167023360284	-0.00523568231263	-0.00331565934909
0.54	0.54	0.0114421840538	0.0167177771343	-0.00527104940935	-0.0035330056721
0.56	0.56	0.0113995288661	0.0167452275425	-0.00530667690183	-0.00375442049606
0.58	0.58	0.0113475682109	0.0167849707205	-0.00534112727261	-0.00398074836468
0.6	0.6	0.0112867900765	0.0168371832789	-0.00537267382547	-0.00421291349132
0.62	0.62	0.0112179372985	0.0169019343861	-0.00539928647207	-0.00445192382547
0.64	0.64	0.0111420258462	0.0169791851818	-0.00541861751854	-0.00469887511922
0.66	0.66	0.0110603631092	0.0170687881911	-0.00542798745216	-0.00495495499374
0.68	0.68	0.010974566185	0.0171704867384	-0.00542437072795	-0.0052214470058
0.7	0.7	0.010886580165	0.0172839143617	-0.00540438155528	-0.0054997347142
0.72	0.72	0.0107986964217	0.0174085942263	-0.00536425968455	-0.00579130574629
0.74	0.74	0.0107135708955	0.0175439385387	-0.00529985619378	-0.00609775586444
0.76	0.76	0.0106342423814	0.0176892479608	-0.00520661927524	-0.00642079303251
0.78	0.78	0.0105641508159	0.0178437110241	-0.00507958002206	-0.00676224148236
0.8	0.8	0.0105071555638	0.018006403543	-0.00491333821491	-0.00712404578032
0.82	0.82	0.0104675537051	0.0181762880294	-0.00470204810856	-0.00750827489366
0.84	0.84	0.0104500983216	0.0183522131065	-0.00443940421855	-0.00791712625709
0.86	0.86	0.0104600167837	0.0185329129227	-0.00411862710782	-0.00835292983924
0.88	0.88	0.0105030290377	0.0187170065656	-0.00373244917329	-0.00881815220912
0.9	0.9	0.0105853658919	0.0189029974761	-0.00327310043253	-0.00931540060264
0.92	0.92	0.010713787304	0.0190892728622	-0.00273229431039	-0.00984742698907
0.94	0.94	0.0108956006676	0.0192741031134	-0.00210121342557	-0.0104171321375
0.96	0.96	0.0111386790991	0.0194556412141	-0.00137049537733	-0.0110275696835
0.98	0.98	0.0114514797245	0.0196319221578	-0.000530218532038	-0.0116819501951
1	1	0.0118430619661	0.0198008623615	0.000430112190159	-0.01238364524
