# RussianDoll Interpolation Data - Frame 25
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111863320674
c1 = -0.00204193541939
c2 = 0.00800069600567
c3 = 0.0200655198059
c4 = -0.0743588039028
c5 = 0.0490104890892

[displacement_x_coefficients]
c0 = 0.0173000208212
c1 = 0.00628347029975
c2 = -0.0358374388918
c3 = 0.0490777985748
c4 = -0.0070938092475
c5 = -0.011065491395

[displacement_y_coefficients]
c0 = -0.00404282241136
c1 = -0.00916395548681
c2 = 0.0313697056311
c3 = -0.0360704833012
c4 = -0.00818475829762
c5 = 0.0249282825754

[displacement_z_coefficients]
c0 = 0.00287465014846
c1 = -0.0121422122172
c2 = 0.00388694134647
c3 = 0.00917635846979
c4 = -0.0140810640353
c5 = 0.00122875971384

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111863320674	0.0173000208212	-0.00404282241136	0.00287465014846
0.02	0.02	0.011148842421	0.0174117467037	-0.0042138434325	0.00263343184248
0.04	0.04	0.0111185546176	0.0174971414169	-0.00436151601308	0.00239573213116
0.06	0.06	0.0110960270206	0.0175585145234	-0.00448760671492	0.00216191096259
0.08	0.08	0.0110815700954	0.0175981398474	-0.00459389438442	0.00193227515725
0.1	0.1	0.0110752652298	0.017618251225	-0.00468216058003	0.00170707887986
0.12	0.12	0.011076983554	0.017621038256	-0.00475417999987	0.00148652411125
0.14	0.14	0.0110864047603	0.0176086420538	-0.0048117109092	0.00127076112016
0.16	0.16	0.0111030359237	0.0175831509968	-0.00485648556801	0.00105988893513
0.18	0.18	0.0111262303212	0.0175465964794	-0.00489020065851	0.000853955816294
0.2	0.2	0.0111552062524	0.0175009486621	-0.00491450771274	0.000652959727274
0.22	0.22	0.0111890658595	0.0174481122232	-0.00493100354002	0.000456848806987
0.24	0.24	0.0112268139469	0.0173899221092	-0.00494122065457	0.000265521841503
0.26	0.26	0.0112673768016	0.0173281392857	-0.00494661770301	7.88287358881e-05
0.28	0.28	0.0113096210131	0.0172644464883	-0.0049485698919	-0.000103429013954
0.3	0.3	0.0113523722937	0.0172004439734	-0.00494835941528	-0.000281497849434
0.32	0.32	0.0113944342979	0.0171376452692	-0.00494716588223	-0.000455671677441
0.34	0.34	0.011434607443	0.0170774729264	-0.00494605674439	-0.000626291398489
0.36	0.36	0.0114717077289	0.0170212542689	-0.00494597772349	-0.000793744434881
0.38	0.38	0.0115045855583	0.0169702171452	-0.00494774323891	-0.000958464258863
0.4	0.4	0.0115321445565	0.0169254856786	-0.00495202683523	-0.00112092992078
0.42	0.42	0.0115533603913	0.0168880760185	-0.00495935160972	-0.00128166557722
0.44	0.44	0.0115672995936	0.0168588920911	-0.00497008063995	-0.00144124001921
0.46	0.46	0.011573138377	0.0168387213501	-0.00498440741125	-0.00160026620032
0.48	0.48	0.0115701814577	0.0168282305278	-0.00500234624433	-0.00175940076485
0.5	0.5	0.0115578808749	0.016827961386	-0.00502372272275	-0.00191934357598
0.52	0.52	0.0115358548107	0.0168383264664	-0.00504816412051	-0.00208083724393
0.54	0.54	0.01150390641	0.016859604842	-0.00507508982955	-0.00224466665411
0.56	0.56	0.0114620426005	0.0168919378676	-0.00510370178733	-0.00241165849528
0.58	0.58	0.0114104929132	0.0169353249308	-0.00513297490433	-0.00258268078771
0.6	0.6	0.0113497283016	0.0169896192028	-0.00516164749161	-0.00275864241132
0.62	0.62	0.0112804799627	0.0170545233893	-0.00518821168836	-0.00294049263385
0.64	0.64	0.0112037581561	0.0171295854811	-0.00521090388942	-0.00312922063903
0.66	0.66	0.0111208710247	0.0172141945055	-0.00522769517282	-0.0033258550547
0.68	0.68	0.0110334434143	0.0173075762765	-0.00523628172734	-0.00353146348099
0.7	0.7	0.0109434356942	0.0174087891461	-0.00523407528001	-0.00374715201848
0.72	0.72	0.0108531625763	0.0175167197552	-0.00521819352369	-0.00397406479636
0.74	0.74	0.010765311936	0.0176300787839	-0.00518545054461	-0.00421338350055
0.76	0.76	0.0106829636319	0.0177473967031	-0.00513234724986	-0.00446632690189
0.78	0.78	0.0106096083256	0.0178670195245	-0.005055061795	-0.0047341503843
0.8	0.8	0.0105491663023	0.0179871045525	-0.00494944001152	-0.0050181454729
0.82	0.82	0.0105060062901	0.018105616134	-0.00481098583446	-0.00531963936223
0.84	0.84	0.0104849642806	0.0182203214099	-0.00463485172989	-0.00563999444433
0.86	0.86	0.0104913623488	0.0183287860658	-0.00441582912248	-0.00598060783694
0.88	0.88	0.010531027473	0.0184283700829	-0.00414833882303	-0.00634291091166
0.9	0.9	0.0106103103547	0.0185162234885	-0.00382642145601	-0.0067283688221
0.92	0.92	0.0107361042391	0.0185892821075	-0.00344372788708	-0.007138480032
0.94	0.94	0.0109158637346	0.0186442633126	-0.00299350965069	-0.00757477584346
0.96	0.96	0.0111576236334	0.0186776617755	-0.00246860937754	-0.00803881992503
0.98	0.98	0.0114700177308	0.0186857452177	-0.00186145122218	-0.00853220783989
1	1	0.011862297646	0.0186645501615	-0.00116403129052	-0.00905656657401
