# RussianDoll Interpolation Data - Frame 4
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111433055802
c1 = -0.00196583257638
c2 = 0.00756451137854
c3 = 0.016901388728
c4 = -0.0668941208046
c5 = 0.0450614686135

[displacement_x_coefficients]
c0 = 0.0173923620797
c1 = 0.00547031390115
c2 = -0.0322361387449
c3 = 0.0417538564237
c4 = 0.00200667371496
c5 = -0.0163570779047

[displacement_y_coefficients]
c0 = -0.00391472432912
c1 = -0.0102754256256
c2 = 0.0360498371078
c3 = -0.0450772377893
c4 = 0.00292986474341
c5 = 0.0182336951131

[displacement_z_coefficients]
c0 = 0.0031547619044
c1 = -0.0120575496571
c2 = 0.00355529874077
c3 = 0.0173495205881
c4 = -0.0270576382275
c5 = 0.00786076642086

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111433055802	0.0173923620797	-0.00391472432912	0.0031547619044
0.02	0.02	0.0111071393854	0.0174892082018	-0.00410617299757	0.00291516752285
0.04	0.04	0.0110776905496	0.0175622725227	-0.00427093719041	0.0026791903028
0.06	0.06	0.0110554066585	0.0176135629345	-0.00441115498686	0.00244751094242
0.08	0.08	0.0110405130322	0.0176450824728	-0.00452893921199	0.0022207122756
0.1	0.1	0.0110330300277	0.0176588230354	-0.00462637043497	0.00199928229052
0.12	0.12	0.0110327903432	0.0176567591012	-0.0047054899673	0.00178361714814
0.14	0.14	0.0110394563217	0.0176408414493	-0.00476829286116	0.00157402420079
0.16	0.16	0.0110525372539	0.0176129908777	-0.00481672090757	0.00137072501066
0.18	0.18	0.0110714066828	0.0175750919219	-0.00485265563473	0.00117385836834
0.2	0.2	0.0110953197065	0.0175289865745	-0.00487791130622	0.000983483311395
0.22	0.22	0.0111234302823	0.0174764680035	-0.0048942279193	0.000799582142832
0.24	0.24	0.0111548085299	0.0174192742711	-0.00490326420317	0.000622063449692
0.26	0.26	0.0111884580355	0.0173590820533	-0.00490659061721	0.000450765121556
0.28	0.28	0.0112233331548	0.017297500358	-0.00490568234926	0.000285457369087
0.3	0.3	0.0112583563172	0.0172360642442	-0.00490191231386	0.000125845742563
0.32	0.32	0.011292435329	0.017176228541	-0.00489654415054	-2.84258495888e-05
0.34	0.34	0.0113244806772	0.0171193615663	-0.00489072522206	-0.000177772122257
0.36	0.36	0.0113534228329	0.0170667388457	-0.00488547961267	-0.000322663395113
0.38	0.38	0.0113782295553	0.0170195368315	-0.00488170112638	-0.000463622574074
0.4	0.4	0.0113979231948	0.0169788266215	-0.00488014628524	-0.000601222132772
0.42	0.42	0.0114115979969	0.0169455676777	-0.00488142732754	-0.000736081094018
0.44	0.44	0.0114184374059	0.0169206015457	-0.00488600520614	-0.000868862011267
0.46	0.46	0.0114177313682	0.0169046455729	-0.0048941825867	-0.00100026795009
0.48	0.48	0.0114088936362	0.0168982866281	-0.00490609684593	-0.00113103946961
0.5	0.5	0.0113914790715	0.0169019748197	-0.00492171306988	-0.00126195160404
0.52	0.52	0.0113652009492	0.016916017215	-0.00494081705218	-0.00139381084404
0.54	0.54	0.0113299482606	0.0169405715591	-0.00496300829229	-0.0015274521183
0.56	0.56	0.0112858030177	0.0169756399934	-0.00498769299379	-0.00166373577491
0.58	0.58	0.0112330575561	0.0170210627751	-0.00501407706264	-0.00180354456288
0.6	0.6	0.011172231839	0.0170765119953	-0.00504115910542	-0.00194778061358
0.62	0.62	0.0111040907607	0.0171414852988	-0.00506772342759	-0.00209736242224
0.64	0.64	0.0110296614501	0.017215299602	-0.00509233303178	-0.00225322182936
0.66	0.66	0.0109502505745	0.0172970848125	-0.00511332261602	-0.00241630100223
0.68	0.68	0.0108674616431	0.017385777548	-0.00512879157201	-0.00258754941637
0.7	0.7	0.0107832123106	0.0174801148544	-0.0051365969834	-0.00276792083698
0.72	0.72	0.0106997516807	0.0175786279256	-0.00513434662403	-0.00295837030046
0.74	0.74	0.0106196776099	0.0176796358219	-0.00511939195619	-0.00315985109579
0.76	0.76	0.0105459540111	0.0177812391891	-0.0050888211289	-0.0033733117461
0.78	0.78	0.010481928157	0.0178813139769	-0.00503945197615	-0.00359969299005
0.8	0.8	0.0104313479838	0.0179775051587	-0.00496782501517	-0.00383992476333
0.82	0.82	0.010398379395	0.0180672204494	-0.0048701964447	-0.00409492318012
0.84	0.84	0.0103876235646	0.0181476240251	-0.00474253114324	-0.00436558751458
0.86	0.86	0.0104041342412	0.0182156302416	-0.0045804956673	-0.00465279718226
0.88	0.88	0.0104534350512	0.0182678973535	-0.00437945124969	-0.00495740872164
0.9	0.9	0.0105415368025	0.0183008212327	-0.00413444679776	-0.00528025277552
0.92	0.92	0.0106749547882	0.0183105290878	-0.00384021189167	-0.00562213107253
0.94	0.94	0.0108607260901	0.0182928731827	-0.00349114978265	-0.00598381340862
0.96	0.96	0.0111064268826	0.0182434245552	-0.00308133039124	-0.00636603462844
0.98	0.98	0.0114201897357	0.0181574667366	-0.0026044833056	-0.00676949160689
1	1	0.0118107209193	0.0180299894699	-0.00205399077971	-0.00719484023055
